label,sign,accuracy,n_val
150,nap,0.07692307692307693,39
216,there,0.16666666666666666,36
95,give,0.17142857142857143,35
11,awake,0.2,40
149,mouth,0.23076923076923078,39
77,feet,0.24324324324324326,37
129,kitty,0.2564102564102564,39
166,pajamas,0.2564102564102564,39
80,finger,0.2631578947368421,38
46,close,0.2702702702702703,37
160,on,0.2702702702702703,37
167,pen,0.275,40
179,puppy,0.2777777777777778,36
124,into,0.2777777777777778,36
97,go,0.28205128205128205,39
13,bad,0.2894736842105263,38
12,backyard,0.2972972972972973,37
76,fast,0.3055555555555556,36
137,loud,0.3076923076923077,39
168,pencil,0.3076923076923077,39
206,sticky,0.3142857142857143,35
205,stay,0.3157894736842105,38
126,jeans,0.3157894736842105,38
70,empty,0.32432432432432434,37
71,every,0.32432432432432434,37
200,sleepy,0.325,40
184,read,0.3333333333333333,36
18,bedroom,0.3333333333333333,39
202,snack,0.34210526315789475,38
187,ride,0.34285714285714286,35
28,book,0.35135135135135137,37
208,story,0.35135135135135137,37
188,room,0.35135135135135137,37
21,beside,0.3548387096774194,31
3,all,0.358974358974359,39
178,pretty,0.358974358974359,39
186,refrigerator,0.3611111111111111,36
107,hate,0.3611111111111111,36
199,sleep,0.3684210526315789,38
215,that,0.3684210526315789,38
36,car,0.37142857142857144,35
161,open,0.37142857142857144,35
233,wake,0.375,40
53,cut,0.3783783783783784,37
241,will,0.3783783783783784,37
180,puzzle,0.38235294117647056,34
85,flag,0.38461538461538464,39
223,tooth,0.38461538461538464,39
170,person,0.3870967741935484,31
115,hesheit,0.3888888888888889,36
136,look,0.3902439024390244,41
99,grandma,0.39473684210526316,38
127,jump,0.39473684210526316,38
7,any,0.4,35
172,pizza,0.4,40
222,tongue,0.40540540540540543,37
96,glasswindow,0.41025641025641024,39
125,jacket,0.4117647058823529,34
116,hide,0.4166666666666667,36
144,mitten,0.42105263157894735,38
112,helicopter,0.42105263157894735,38
235,wet,0.42105263157894735,38
61,down,0.42424242424242425,33
151,napkin,0.425,40
42,child,0.42857142857142855,35
73,face,0.43243243243243246,37
66,dryer,0.43243243243243246,37
6,another,0.43243243243243246,37
225,touch,0.43243243243243246,37
249,zipper,0.43333333333333335,30
37,carrot,0.4358974358974359,39
98,goose,0.4358974358974359,39
152,night,0.4411764705882353,34
154,noisy,0.4444444444444444,36
164,owie,0.4444444444444444,36
51,cowboy,0.4473684210526316,38
74,fall,0.4473684210526316,38
29,boy,0.4473684210526316,38
128,kiss,0.45,40
231,vacuum,0.45161290322580644,31
1,after,0.45714285714285713,35
43,chin,0.45714285714285713,35
130,lamp,0.4594594594594595,37
41,cheek,0.4594594594594595,37
14,balloon,0.46153846153846156,39
181,quiet,0.4722222222222222,36
247,yucky,0.47368421052631576,38
227,tree,0.47368421052631576,38
58,dog,0.47368421052631576,38
